"Agriculture, value added (% of GDP)",agri
Albania,20.16002904
Algeria,6.915570641
Angola,9.8421845
Antigua and Barbuda,2.000780579
Argentina,10.00347112
Armenia,19.57784171
Australia,2
Austria,2
Azerbaijan,5.75301236
Bahamas,2.212097416
Bangladesh,18.58781574
Belarus,9.224603636
Belgium,1
Bolivia,12.85313726
Bosnia and Herzegovina,7.599480386
Botswana,2.470568007
Brazil,5.304226816
Brunei,0.7598307472
Bulgaria,5.356905825
Burundi,35.14829967
Cambodia,36.01958712
Cape Verde,9.931001627
Chile,3
China,10
Colombia,7.038334156
"Congo, Rep.",3.830400598
Costa Rica,6.852428597
Cote d'Ivoire,22.80391121
Croatia,5.514840253
Cuba,4.991896186
Denmark,1
Dominica,13.24758459
Dominican Republic,6.220920584
Ecuador,6.971391819
Egypt,13.98981905
El Salvador,12.55223979
Ethiopia,47.74127993
Fiji,12.11408146
Finland,3
Gabon,4.078233423
Gambia,28.45947084
Georgia,8.405663776
Germany,1
Ghana,29.9279868
Grenada,5.330160971
Guatemala,38.69430566
Guinea,12.97016298
Honduras,12.51791048
Hungary,3.526911278
India,17.74227891
Indonesia,15
Italy,2
Japan,1
Jordan,3.416266213
Kazakhstan,4.826025783
Kenya,25.17906763
South Korea,2.556139865
Kyrgyz Republic,20.72166659
Lao,32.74641392
Latvia,4.137770783
Lebanon,6.389376196
Lesotho,8.625456536
Lithuania,3.50621021
Luxembourg,0.2934805203
"Macedonia, FYR",11.27022469
Malaysia,10.62706161
Maldives,3.14233281
Malta,1.918756675
Mauritania,17.14623689
Mauritius,3.645972436
Mexico,3.91112412
Moldova,14.32840805
Mongolia,16.22147525
Montenegro,9.194596398
Morocco,15.37879019
Mozambique,31.85200415
Namibia,7.502314204
Nepal,36.52847708
Netherlands,2
Nicaragua,20.77145342
Norway,2
Pakistan,21.177598
Panama,4.033691158
Papua New Guinea,35.79184164
Paraguay,22.27841672
Peru,8.487908006
Philippines,12.31432783
Poland,3.53731105
Portugal,2
Puerto Rico,0.5746905532
Romania,7.143339125
Russia,4.042329269
Rwanda,32.22122951
St. Kitts and Nevis,2
St. Lucia,3
St. Vincent and the Grenadines,7
Samoa,9.77446305
Saudi Arabia,2.485462623
Senegal,17.40035229
Serbia,9.047256851
Sierra Leone,48.96579772
Singapore,0.03491106236
Slovak Republic,3.861012407
Slovenia,2.457258497
South Africa,2.478327176
Spain,2.710297091
Sri Lanka,13
Sudan,23.62894146
Swaziland,7.970969272
Sweden,1.833781323
Switzerland,1
Tajikistan,21.34009623
Tanzania,28.05761485
Thailand,12.38821549
Togo,42.8280091
Tonga,20.34451008
Uganda,24.24898299
Ukraine,8.169961014
United Arab Emirates,0.8773101433
United Kingdom,0.7244068684
United States,1
Uruguay,9
