"Agriculture, value added (% of GDP)",incomepp
Albania,1915.4244586
Algeria,2231.9802458
Angola,623.2452749
Antigua and Barbuda,10614.7943154
Argentina,10749.3192245
Armenia,1326.7108635
Australia,25190.8398595
Austria,26642.9938576
Azerbaijan,2344.8109346
Bahamas,19395.1523121
Bangladesh,558.0623850
Belarus,2739.9506431
Belgium,24550.3965532
Bolivia,1232.6887333
Bosnia and Herzegovina,2183.2583496
Botswana,4189.6867020
Brazil,4716.6141255
Brunei,17225.3156206
Bulgaria,2555.1771010
Burundi,138.2482379
Cambodia,557.9769130
Cape Verde,1958.8884553
Chile,6781.6964840
China,2426.3324663
Colombia,3218.0717039
"Congo, Rep.",1253.8041485
Costa Rica,5226.5661777
Cote d'Ivoire,587.5445423
Croatia,6255.2398923
Cuba,4495.0546463
Denmark,30667.8248621
Dominica,6529.5296332
Dominican Republic,4049.0391071
Ecuador,1728.0521563
Egypt,1975.5500307
El Salvador,2555.8876763
Ethiopia,218.6586392
Fiji,2218.1469554
Finland,26953.2205532
Gabon,4213.8815626
Gambia,660.2438310
Georgia,1257.1798775
Germany,25420.2757175
Ghana,360.3240584
Grenada,6011.8456179
Guatemala,1862.6672597
Guinea,388.4181539
Honduras,1392.3158320
Hungary,5633.9909898
India,794.8012560
Indonesia,1145.3854346
Italy,18944.4138081
Japan,39971.7874534
Jordan,2579.3824493
Kazakhstan,2481.6752838
Kenya,470.5770914
South Korea,16219.3880697
Kyrgyz Republic,376.0840211
Lao,555.5194618
Latvia,5011.2015512
Lebanon,6745.6599091
Lesotho,495.6616443
Lithuania,5332.5306071
Luxembourg,52222.5766744
"Macedonia, FYR",2220.0438802
Malaysia,5168.6860160
Maldives,3800.4882874
Malta,11062.2327209
Mauritania,609.1711718
Mauritius,5180.9678738
Mexico,6124.7095707
Moldova,596.6866117
Mongolia,772.9330643
Montenegro,2224.1298405
Morocco,1844.3510276
Mozambique,383.5832570
Namibia,2695.8783270
Nepal,269.2451900
Netherlands,26501.0458209
Nicaragua,1179.1833433
Norway,39970.2925284
Pakistan,664.7112698
Panama,6109.5873700
Papua New Guinea,744.2105476
Paraguay,1578.6363376
Peru,3180.3746085
Philippines,1383.4048653
Poland,6574.2961176
Portugal,11747.5854928
Puerto Rico,16910.4605388
Romania,2636.7876769
Russia,2928.0050331
Rwanda,352.5356203
St. Kitts and Nevis,9856.2128605
St. Lucia,5463.0838500
St. Vincent and the Grenadines,4839.2223018
Samoa,1769.5650111
Saudi Arabia,9499.3788900
Senegal,560.2574435
Serbia,1194.6399942
Sierra Leone,268.3072782
Singapore,32640.6844159
Slovak Republic,8427.4351008
Slovenia,12732.0455483
South Africa,3753.4453652
Spain,15418.8201766
Sri Lanka,1308.7840186
Sudan,549.8570037
Swaziland,1811.0777603
Sweden,32631.1927055
Switzerland,38826.8429834
Tajikistan,278.9403281
Tanzania,458.7864636
Thailand,2712.5080160
Togo,265.9220492
Tonga,2069.2261621
Uganda,379.9914906
Ukraine,1036.8375059
United Arab Emirates,21088.2643806
United Kingdom,28244.3369363
United States,37329.6159139
Uruguay,9096.7944591
