"Agriculture, value added (% of GDP)",population
Albania,2901883.0000000
Algeria,36036159.0000000
Angola,21219954.0000000
Antigua and Barbuda,87233.0000000
Argentina,41222875.0000000
Armenia,2963496.0000000
Australia,22162863.0000000
Austria,8391986.0000000
Azerbaijan,9099893.0000000
Bahamas,360830.0000000
Bangladesh,151616777.0000000
Belarus,9492122.0000000
Belgium,10929978.0000000
Bolivia,9918245.0000000
Bosnia and Herzegovina,3835258.0000000
Botswana,2047831.0000000
Brazil,198614208.0000000
Brunei,393302.0000000
Bulgaria,7407297.0000000
Burundi,9461117.0000000
Cambodia,14363586.0000000
Cape Verde,490379.0000000
Chile,17015048.0000000
China,1340968737.0000000
Colombia,45918101.0000000
"Congo, Rep.",4066078.0000000
Costa Rica,4545273.0000000
Cote d'Ivoire,20131707.0000000
Croatia,4316425.0000000
Cuba,11308133.0000000
Denmark,5550959.0000000
Dominica,71167.0000000
Dominican Republic,9897983.0000000
Ecuador,14934692.0000000
Egypt,82040994.0000000
El Salvador,6038306.0000000
Ethiopia,87561814.0000000
Fiji,859952.0000000
Finland,5367693.0000000
Gabon,1541936.0000000
Gambia,1693002.0000000
Georgia,4250132.0000000
Germany,80435307.0000000
Ghana,24317734.0000000
Grenada,104677.0000000
Guatemala,14732261.0000000
Guinea,11012406.0000000
Honduras,7503875.0000000
Hungary,10014633.0000000
India,1230984504.0000000
Indonesia,241613126.0000000
Italy,59588007.0000000
Japan,127319802.0000000
Jordan,6517912.0000000
Kazakhstan,16310624.0000000
Kenya,40328313.0000000
South Korea,51621594.0000000
Kyrgyz Republic,5464567.0000000
Lao,6260544.0000000
Latvia,2090519.0000000
Lebanon,4337156.0000000
Lesotho,2010586.0000000
Lithuania,3122835.0000000
Luxembourg,507889.0000000
"Macedonia, FYR",2062443.0000000
Malaysia,28119500.0000000
Maldives,332575.0000000
Malta,412064.0000000
Mauritania,3591400.0000000
Mauritius,1247951.0000000
Mexico,118617542.0000000
Moldova,4084483.0000000
Mongolia,2712657.0000000
Montenegro,621952.0000000
Morocco,32107739.0000000
Mozambique,24321457.0000000
Namibia,2193643.0000000
Nepal,26875910.0000000
Netherlands,16631571.0000000
Nicaragua,5737722.0000000
Norway,4891251.0000000
Pakistan,170043918.0000000
Panama,3620506.0000000
Papua New Guinea,6847517.0000000
Paraguay,6209877.0000000
Peru,29373644.0000000
Philippines,93038902.0000000
Poland,38574682.0000000
Portugal,10584837.0000000
Puerto Rico,3709671.0000000
Romania,20298838.0000000
Russia,143158099.0000000
Rwanda,10293669.0000000
St. Kitts and Nevis,20201312.0000000
St. Lucia,20201312.0000000
St. Vincent and the Grenadines,20201312.0000000
Samoa,186029.0000000
Saudi Arabia,28090647.0000000
Senegal,12956791.0000000
Serbia,9059046.0000000
Sierra Leone,5775902.0000000
Singapore,5078961.0000000
Slovak Republic,5406896.0000000
Slovenia,2052480.0000000
South Africa,51621594.0000000
Spain,46601492.0000000
Sri Lanka,20201312.0000000
Sudan,36114885.0000000
Swaziland,1193148.0000000
Sweden,9382297.0000000
Switzerland,7830534.0000000
Tajikistan,7581696.0000000
Tanzania,45648525.0000000
Thailand,66692024.0000000
Togo,6390851.0000000
Tonga,103947.0000000
Uganda,33149417.0000000
Ukraine,45647497.0000000
United Arab Emirates,8329453.0000000
United Kingdom,62716684.0000000
United States,309876170.0000000
Uruguay,3374414.0000000
